seed,n1,n2,d,mean_sep,noise,train_accuracy_mdm,train_accuracy_svm,min_signed_margin_mdm,min_signed_margin_svm,mean_signed_margin_mdm,mean_signed_margin_svm,margin_width_mdm,margin_width_svm,margin_width_diff,cosine_similarity,abs_cosine_similarity,direction_diff_norm,mdm_iterations,mdm_final_delta,mdm_active_count,mdm_truncated_count,mdm_time_sec,svm_time_sec,mdm_objective,mdm_hull_distance,confusion_mdm,confusion_svm
200042,200,200,2,10.0,0.6,1.0,1.0,1.0,0.9999334243111566,1.412065229977935,1.4121637171094943,7.087002159204854,7.086648745624317,0.0003534135805365324,0.9999998901435115,0.9999998901435115,0.00046873550837540245,399,0.0,3,397,0.026842175999263418,0.0011576890010474017,25.112799802287128,7.087002159204854,"{'tp': 200, 'tn': 200, 'fp': 0, 'fn': 0}","{'tp': 200, 'tn': 200, 'fp': 0, 'fn': 0}"
200043,200,200,2,10.0,0.6,1.0,1.0,1.0,1.0000000061904823,1.384891464510246,1.3848914768749103,7.258135136826923,7.258135072024442,6.480248160301016e-08,1.0,1.0,2.7755575615628914e-17,399,0.0,2,398,0.026352640999903088,0.0007315439997910289,26.34026283222079,7.258135136826923,"{'tp': 200, 'tn': 200, 'fp': 0, 'fn': 0}","{'tp': 200, 'tn': 200, 'fp': 0, 'fn': 0}"
200044,200,200,2,10.0,0.6,1.0,1.0,0.9999999999999998,0.9998494119906003,1.4389607308526462,1.4391427787846554,6.921957877695194,6.921038524111426,0.0009193535837681566,0.9999997572564601,0.9999997572564601,0.0006967690291384511,399,1.7763568394002505e-15,3,397,0.02628534300129104,0.0006858880005893297,23.95675043029327,6.921957877695193,"{'tp': 200, 'tn': 200, 'fp': 0, 'fn': 0}","{'tp': 200, 'tn': 200, 'fp': 0, 'fn': 0}"
500042,500,500,2,10.0,0.6,1.0,1.0,0.9999999999999998,1.0000223652753093,1.485571465413724,1.4856215477988017,6.6930365313807245,6.6928107224320925,0.0002258089486320003,0.9999999999999436,0.9999999999999436,3.364759094612037e-07,999,7.105427357601002e-15,3,997,0.09513931699984823,0.0009192489997076336,22.398369005198457,6.6930365313807245,"{'tp': 500, 'tn': 500, 'fp': 0, 'fn': 0}","{'tp': 500, 'tn': 500, 'fp': 0, 'fn': 0}"
500043,500,500,2,10.0,0.6,1.0,1.0,1.0,0.9999999637193983,1.565456081048907,1.5654561015905406,6.408030694587474,6.408030610502447,8.408502694123854e-08,1.0,1.0,3.469446951953614e-18,999,0.0,2,998,0.09453874199971324,0.0007575119998364244,20.531428691387614,6.408030694587474,"{'tp': 500, 'tn': 500, 'fp': 0, 'fn': 0}","{'tp': 500, 'tn': 500, 'fp': 0, 'fn': 0}"
500044,500,500,2,10.0,0.6,1.0,1.0,1.0,1.0000000120483725,1.5062271935467015,1.5062272244034842,6.649783462475323,6.649783326246925,1.3622839833971057e-07,0.9999999999999999,0.9999999999999999,1.1123893155135927e-16,999,0.0,2,998,0.09724009099954856,0.0007473229998140596,22.109810048905157,6.649783462475324,"{'tp': 500, 'tn': 500, 'fp': 0, 'fn': 0}","{'tp': 500, 'tn': 500, 'fp': 0, 'fn': 0}"
1000042,1000,1000,2,10.0,0.6,1.0,1.0,1.0,0.9999996367486417,1.5409467852135035,1.540947066984446,6.485081406089145,6.485080598840954,8.072481909593421e-07,0.9999999999772471,0.9999999999772471,6.745800789372643e-06,1999,0.0,3,1997,0.2924795790004282,0.0010087579994433327,21.02814042180158,6.485081406089145,"{'tp': 1000, 'tn': 1000, 'fp': 0, 'fn': 0}","{'tp': 1000, 'tn': 1000, 'fp': 0, 'fn': 0}"
1000043,1000,1000,2,10.0,0.6,1.0,1.0,0.9999999999999998,1.000000027563333,1.608294508375896,1.6082946568939502,6.221888707783508,6.22188813322287,5.745606381779567e-07,0.9999999999999999,0.9999999999999999,3.469446951953614e-18,1999,0.0,2,1998,0.295951853000588,0.0008900440006982535,19.355949546021964,6.221888707783508,"{'tp': 1000, 'tn': 1000, 'fp': 0, 'fn': 0}","{'tp': 1000, 'tn': 1000, 'fp': 0, 'fn': 0}"
1000044,1000,1000,2,10.0,0.6,1.0,1.0,0.9999999999999994,0.9995039670244525,1.742495809406735,1.742213214540348,5.734067623114154,5.73461541792174,0.0005477948075860439,0.9999991515941775,0.9999991515941775,0.0013026172288919636,1999,7.105427357601002e-15,3,1997,0.29696244500155444,0.0008567610002501169,16.439765753223,5.734067623114154,"{'tp': 1000, 'tn': 1000, 'fp': 0, 'fn': 0}","{'tp': 1000, 'tn': 1000, 'fp': 0, 'fn': 0}"
2000042,2000,2000,2,10.0,0.6,1.0,1.0,0.9999999999999998,0.9999999937609674,1.6368428168583207,1.636842855385767,6.11072542377488,6.110725279942718,1.4383216129232324e-07,0.9999999999999999,0.9999999999999999,2.862293735361732e-17,3999,0.0,2,3998,0.9919297979995463,0.001414334999935818,18.67048260238434,6.11072542377488,"{'tp': 2000, 'tn': 2000, 'fp': 0, 'fn': 0}","{'tp': 2000, 'tn': 2000, 'fp': 0, 'fn': 0}"
2000043,2000,2000,2,10.0,0.6,1.0,1.0,1.0000000000000002,0.9999998968962669,1.6486427826791492,1.6486427641722894,6.04354873719321,6.043548805035141,6.784193118392068e-08,1.0,1.0,1.3877787807814457e-17,3999,0.0,2,3998,0.966768542999489,0.001203114999952959,18.262240669414826,6.043548737193211,"{'tp': 2000, 'tn': 2000, 'fp': 0, 'fn': 0}","{'tp': 2000, 'tn': 2000, 'fp': 0, 'fn': 0}"
2000044,2000,2000,2,10.0,0.6,1.0,1.0,1.0,0.999999984128912,1.771630535158531,1.7716305143905537,5.596477436754914,5.596477502359743,6.560482912476573e-08,1.0,1.0,1.1188630228279524e-16,3999,0.0,2,3998,0.9680511610004032,0.0010900110009970376,15.660279850053433,5.596477436754915,"{'tp': 2000, 'tn': 2000, 'fp': 0, 'fn': 0}","{'tp': 2000, 'tn': 2000, 'fp': 0, 'fn': 0}"
